02/01/2026 - 02/28/2026
Franchisee - Sam Merrill
,
"Invoice Date","Description","Quantity","Rate","Amount"
"31 Supper Club: 02/03/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $100.00","$100.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"31 Supper Club: 02/06/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $100.00","$100.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"31 Supper Club: 02/10/2026 12:00am | Performed"
"FF","50 Pound Filter f1","1","Charge: $100.00","$100.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$100.00"
"Aden Senior Living: 02/01/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $80.00","$80.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$80.00"
"Aden Senior Living: 02/08/2026 02:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $80.00","$80.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$80.00"
"Aden Senior Living: 02/15/2026 03:25am | Performed"
"FF","50 Pound Dump f1","1","Charge: $80.00","$80.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$80.00"
"Aden Senior Living: 02/22/2026 02:39am | Performed"
"FF","50 Pound Dump f1","1","Charge: $80.00","$80.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$80.00"
"Advent Health Daytona Beach: 02/03/2026 03:00am | Performed"
"FF","50 Pound Dump f4, 50 Pound Dump f2, 50 Pound Dump f3, 50 Pound Dump f1","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 02/07/2026 01:00am | Performed"
"FF","50 Pound Dump f1, 50 Pound Dump f4, 50 Pound Dump f3, 50 Pound Dump f2","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 02/10/2026 02:36am | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f3, 50 Pound Dump f4, 50 Pound Dump f1","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 02/14/2026 12:00am | Performed"
"FF","50 Pound Dump f3, 50 Pound Dump f2, 50 Pound Dump f1, 50 Pound Dump f4","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 02/17/2026 12:00am | Performed"
"FF","50 Pound Dump f1, 50 Pound Dump f4, 50 Pound Dump f2, 50 Pound Dump f3","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 02/21/2026 12:00am | Performed"
"FF","50 Pound Dump f4, 50 Pound Dump f1, 50 Pound Dump f2, 50 Pound Dump f3","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 02/24/2026 12:00am | Performed"
"FF","50 Pound Dump f1, 50 Pound Dump f4, 50 Pound Dump f2, 50 Pound Dump f3","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 02/28/2026 12:00am | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f4, 50 Pound Dump f1, 50 Pound Dump f3","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"AdventHealth DeLand: 02/02/2026 12:00am | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f1, 50 Pound Dump f3","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/04/2026 12:00am | Performed"
"FF","50 Pound Filter f2, 50 Pound Filter f1, 50 Pound Filter f3","1","Charge: $150.00","$150.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/06/2026 12:00am | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f1, 50 Pound Dump f3","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/09/2026 12:00am | Performed"
"FF","50 Pound Dump f1, 50 Pound Dump f2, 50 Pound Dump f3","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/11/2026 12:00am | Performed"
"FF","50 Pound Filter f2, 50 Pound Filter f3, 50 Pound Filter f1","1","Charge: $150.00","$150.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/13/2026 12:00am | Performed"
"FF","50 Pound Dump f3, 50 Pound Dump f2, 50 Pound Dump f1","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/16/2026 12:00am | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f3, 50 Pound Dump f1","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/18/2026 12:00am | Performed"
"FF","50 Pound Dump f3, 50 Pound Dump f1, 50 Pound Dump f2","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/20/2026 12:00am | Performed"
"FF","50 Pound Dump f1, 50 Pound Dump f2, 50 Pound Dump f3","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/23/2026 12:00am | Performed"
"FF","50 Pound Filter f3, 50 Pound Dump f2, 50 Pound Dump f1","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","80.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/25/2026 12:00am | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f1, 50 Pound No Service f3","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","80.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 02/27/2026 12:00am | Performed"
"FF","50 Pound Dump f3, 50 Pound Dump f1, 50 Pound Dump f2","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth Fish Memorial: 02/02/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/04/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/06/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/07/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/07/2026 11:51pm | Performed"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$0.00"
"AdventHealth Fish Memorial: 02/08/2026 03:11am | Performed"
"FS","1.00 Sq. Ft. Main Kitchen","1","Main Kitchen: $1,100.00","$1,100.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$1,100.00"
"AdventHealth Fish Memorial: 02/09/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/11/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/13/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/14/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/16/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/18/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/20/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/21/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/23/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/25/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/27/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 02/28/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 02/02/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 02/05/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 02/09/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 02/12/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 02/16/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 02/19/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 02/23/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 02/26/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"Big Tunas Beach Bar/Grill: 02/02/2026 12:00am | Performed"
"FF","50 Pound Dump f4, 50 Pound Filter f5, 50 Pound Dump f1, 50 Pound Filter f3, 50 Pound Dump f2","1","Charge: $140.00","$140.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 02/09/2026 12:00am | Performed"
"FF","50 Pound Dump f4, 50 Pound Filter f1, 50 Pound Filter f3, 50 Pound Dump f5, 50 Pound Dump f2","1","Charge: $140.00","$140.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 02/09/2026 12:07pm | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f5, 50 Pound Dump f3, 50 Pound Dump f4, 50 Pound Dump f1","1","Charge: $140.00","$140.00"
"FB","Total Waste Oil Collected (lbs)","200.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 02/16/2026 12:00am | Performed"
"FF","50 Pound Filter f1, 50 Pound Filter f5, 50 Pound Filter f3, 50 Pound Filter f4, 50 Pound Filter f2","1","Charge: $140.00","$140.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 02/19/2026 12:00am | Performed"
"FF","50 Pound Dump f5, 50 Pound Filter f2, 50 Pound Dump f3, 50 Pound Dump f1, 50 Pound Filter f4","1","Charge: $140.00","$140.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
