Action,Tier,Reason,Survivor Company,Survivor City,Survivor Phone,Survivor Stage,Survivor Status,Survivor Activities,Survivor Symphony ID,Survivor DB ID,Loser Company,Loser City,Loser Phone,Loser Stage,Loser Status,Loser Activities,Loser Symphony ID,Loser DB ID
merge,AUTO,same phone + similar name,Sonapa Wine and Grill,New Smyrna Beach,386-402-8647,new_lead,prospect,0,a458e1cf-090f-417c-fe4a-520bcbbba0d7,9ca4f137-d838-493e-a5e7-245ffa95085b,SoNapa Grille,New Smyrna Beach,386-402-8647,new_lead,prospect,0,6df09d28-f26b-e8a6-61c9-54c7fe9ee1c1,02d83c1a-7f06-46fb-ba40-5cf67b28f952
merge,AUTO,same phone + similar name,Sonapa Wine Co,New Smyrna Beach,386-402-8647,new_lead,prospect,0,3812b35e-9027-516d-15c8-520bc8d21a81,f8b16757-183f-4d4e-ba86-d633d22de79e,SoNapa Grille,New Smyrna Beach,386-402-8647,new_lead,prospect,0,6df09d28-f26b-e8a6-61c9-54c7fe9ee1c1,02d83c1a-7f06-46fb-ba40-5cf67b28f952
merge,AUTO,same phone + similar name,Sonapa Wine Co,New Smyrna Beach,386-402-8647,new_lead,prospect,0,3812b35e-9027-516d-15c8-520bc8d21a81,f8b16757-183f-4d4e-ba86-d633d22de79e,Sonapa Wine and Grill,New Smyrna Beach,386-402-8647,new_lead,prospect,0,a458e1cf-090f-417c-fe4a-520bcbbba0d7,9ca4f137-d838-493e-a5e7-245ffa95085b
merge,AUTO,same phone + similar name,Melbourne Seafood Station - Palm Bay,West Melbourne,321-327-3727,new_lead,prospect,0,68f4072e-53dd-ec33-1bec-656791a22729,29a409fa-ec51-4919-9ad1-a6f5bebcb478,Melbourne Seafood Station,West Melbourne,3213273727,new_lead,prospect,0,787ddadb-257a-75dc-09c0-698e64fcc91a,69c9ab92-5cb6-40fe-8a59-f83b04cc5558
merge,AUTO,same phone + similar name,Beef'O'Brady's,Rockledge,321-633-4030,new_lead,prospect,0,474b2a38-f8ca-55c0-1bca-52d41f0f7741,31511607-f3b6-4bcf-9c6c-105566d53fc0,Beef O Brady's,Viera,321-633-4030,qualified,prospect,0,24fdbb02-eb94-d309-c92d-55f18f51a460,7feedfa1-f2de-49b9-b8dd-ec8204af21a9
merge,AUTO,same phone + similar name,Xin Da Chinese Restaurant,Melbourne,321-757-9800,new_lead,prospect,0,b86a6bec-17f7-c6e7-69f3-52d42c28fdc1,d296dce8-8cae-40ff-acd0-ba4e2057d374,Xin Da,Melbourne,3217579800,new_lead,prospect,0,d0369fcc-9b09-b1fd-1258-698e6476794c,2873398a-732b-4f3e-9953-f08189ba4ef9
merge,AUTO,same phone + similar name,Arrowood,Melbourne,3217253500,new_lead,prospect,0,32fd32a3-149c-9804-c7db-698e641286c1,90b434ed-4d09-47bd-b3d0-af04dbba938c,Arrowood Club Office,West Melbourne,3217253500,new_lead,prospect,0,aa2f3c72-6dad-497e-b895-698e64d5acd9,32762fb7-50f0-42a0-8e18-dbf796581d70
merge,AUTO,same phone + similar name,Florida Preparatory Academy,Melbourne,321-723-3211,new_lead,prospect,0,7ac96528-0c1d-cf6f-bd3a-5ace5288c5b4,2b45626d-9755-4b93-8088-aba7f4b1fb29,Florida Prep,Melbourne,3217233211,new_lead,prospect,0,6d20df3c-3e67-b6b1-b2ef-698e644c6f2b,ad239fdd-5ac9-4936-b6a0-0b43083da813
merge,AUTO,same phone + similar name,Wings Things,Palm Bay,321-727-7778,new_lead,prospect,0,44a1b504-5beb-a92e-1aae-52d42cb1ea0e,a6b25dca-09f8-4c55-bce4-9537dc7f2933,Wings & Things Too,Palm Bay,3217277778,new_lead,prospect,0,15326ff6-606e-64eb-7f81-698e64b08bfc,8ac9ca6b-c8b1-4a15-90fe-f0f4f2befa62
merge,AUTO,same phone + similar name,Courtyard Daytona Beach Speedway/Airport,Daytona Beach,386-255-3388,closed_won,customer,0,419032eb-d66c-c75d-d511-6890a3cdfcb1,e209a139-5996-4a59-9ba2-4a1ec9c18477,Courtyard,Daytona Beach,386-255-3388,new_lead,prospect,0,a4a74a2d-f4aa-b4ca-77f5-520bbb71c344,df30db92-e6b9-4f8b-8c14-cff418afa946
merge,AUTO,same phone + similar name,Skewers,Indialantic,321-727-8944,new_lead,prospect,0,b57e3a88-b3c2-4431-fe0a-52d42ac79771,7918d692-041a-4a0f-9ca7-db24a6c53c67,Skewers Grill,Indialantic,3217278944,new_lead,prospect,0,2ef5e4c2-ede3-66e2-8018-698e64b2940b,2040c12e-96d1-4bfb-ac1e-07cbc2e9c7da
