Action,Tier,Reason,Survivor Company,Survivor City,Survivor Phone,Survivor Stage,Survivor Status,Survivor Activities,Survivor Symphony ID,Survivor DB ID,Loser Company,Loser City,Loser Phone,Loser Stage,Loser Status,Loser Activities,Loser Symphony ID,Loser DB ID
,REVIEW,"same phone, names differ",Grant Food Mart Inc,Grant,321-724-1377,new_lead,prospect,0,26acda26-9741-b50f-0b1f-64498954c072,df3d9db9-d9b7-4903-aa0e-35fffdeedc1c,Sunoco,Grant,3217241377,new_lead,prospect,0,2a74115f-7b18-d0ba-a817-698e64dbdf9e,0862c823-c5d1-49df-bb58-242e855aa757
,REVIEW,"same phone, names differ",Florida Air Academy,Melbourne,321-723-3211,new_lead,prospect,0,8fcddbcd-8942-3995-feba-50c72e9654fe,f6a2b71a-16a4-470d-b88b-a7028437d99c,Florida Prep,Melbourne,3217233211,new_lead,prospect,0,6d20df3c-3e67-b6b1-b2ef-698e644c6f2b,ad239fdd-5ac9-4936-b6a0-0b43083da813
,REVIEW,"same phone, names differ",Florida Preparatory Academy,Melbourne,321-723-3211,new_lead,prospect,0,7ac96528-0c1d-cf6f-bd3a-5ace5288c5b4,2b45626d-9755-4b93-8088-aba7f4b1fb29,Florida Air Academy,Melbourne,321-723-3211,new_lead,prospect,0,8fcddbcd-8942-3995-feba-50c72e9654fe,f6a2b71a-16a4-470d-b88b-a7028437d99c
,REVIEW,"same phone, names differ",AdventHealth New Smryna Beach,New Smyrna Beach,386-424-5000,closed_won,customer,0,41213194-a93f-efde-45c8-68d2d72d4d1d,9907eac5-a08b-4271-b930-8828c7b94230,Bert Fish Medical Ctr (FL Hospital New Smyrna),New Smyrna Beach,386-424-5000,new_lead,prospect,0,197a40d5-690b-2fa5-3c58-520bbbdc12f4,c1f9bce2-11ac-4bed-9761-055a758d1df2
,REVIEW,"same phone, names differ",AdventHealth New Smryna Beach,New Smyrna Beach,386-424-5000,closed_won,customer,0,41213194-a93f-efde-45c8-68d2d72d4d1d,9907eac5-a08b-4271-b930-8828c7b94230,BERT FISH MED CENTER,NEW SMYRNA BEACH,386-424-5000,new_lead,prospect,0,dd8c0557-eae9-937f-7d5f-50c76786c295,c8a7ac5f-aac6-4d5d-91c9-27d5dc624339
,REVIEW,"same phone, names differ",Bert Fish Medical Ctr (FL Hospital New Smyrna),New Smyrna Beach,386-424-5000,new_lead,prospect,0,197a40d5-690b-2fa5-3c58-520bbbdc12f4,c1f9bce2-11ac-4bed-9761-055a758d1df2,BERT FISH MED CENTER,NEW SMYRNA BEACH,386-424-5000,new_lead,prospect,0,dd8c0557-eae9-937f-7d5f-50c76786c295,c8a7ac5f-aac6-4d5d-91c9-27d5dc624339
,REVIEW,"same phone, names differ",Thai Thai Village Sushi Bar,Cocoa,321-631-8228,closed_won,prospect,0,37f89c5a-4a88-7651-5ac4-59120ca0c6d8,f1a16795-6195-4f79-9b2c-f1bbe08949e7,Thai Thai Cocoa Village,Cocoa,321-631-8228,new_lead,prospect,0,4a078ab2-cb30-67f2-c939-698e644c4763,93f72712-10b0-442d-89aa-b140a7307d15
,REVIEW,"same phone, names differ",Suntree Cafe,Satellite Beach,321-773-0304,new_lead,prospect,0,a61ed373-ffcb-7b39-1662-52d42be00fcd,b5fcfde0-5e0c-4bb3-874e-aa93aabb03a2,Ups!de Down Cafe,Satellite Beach,3217730304,new_lead,prospect,0,4e1c4a2a-4e27-193f-848f-698e6462a525,6241f44c-d952-4fa3-aa6b-8d1a854e3f45
,REVIEW,"same phone, names differ",Shack Seafood Restaurant,Palm Bay,321-676-9995,new_lead,prospect,0,5e187de1-b569-f774-a530-52d42a0434f9,de0bc975-431e-43bf-8bae-c9f0c3b588a0,Shack Riverfront Rstrnt,Palm Bay,3216769995,new_lead,prospect,0,79e3ce3a-a72c-99ed-7f47-698e6474d009,c16086f6-9e71-415f-9cfe-669acfbdddac
,REVIEW,"same phone, names differ",Wasabi Shushi Hibochi,Indian Hrbr Bch,321-622-5699,new_lead,prospect,0,e63ed3d2-a998-95b5-e9b1-52d42c233124,f11b6475-2b7b-48ad-93e6-9788e7f7dbfc,Sumo Japanese Restaurant,Indian Hrbr Bch,3216225699,new_lead,prospect,0,7cf14f65-897e-7e99-7816-698e6494806a,39240f3e-4324-45f8-be78-a56606ca8fbc
